sample,Beat count per min,H19,MYL7,NPPB,MYL9,TNNC1,MYL4,TPM1,UBC,UBB,TIMP1,HSPB1,HSPA8,FTL,FTH1
C2,21.6,24912.352018999998,13288.983897999999,918.629639,5252.136525,3527.288484,3606.3668119999998,10298.432997,663.134725,1686.1790339999998,4474.3368820000005,7451.071026,510.008472,2327.586897,5831.002802
C3,19.2,27511.562408,13939.079578,621.269925,5151.419481999999,3535.259842,3904.5026519999997,10503.08444,627.2680399999999,2300.441092,7977.724903,7331.976173,731.0120979999999,4323.555134,6954.197424
H2,12.0,24139.967735000002,19433.124896,390.872588,3388.999453,4066.949984,5158.249733,10218.434776,561.053729,2173.2364629999997,7343.6454810000005,6024.651914,998.498431,3659.936325,7237.723709
H3,3.5,15686.205088,16661.672472,347.822293,2896.713551,4086.301289,3381.397284,9960.51592,581.774277,2085.363391,9873.673683,5222.586548,922.343629,4844.700262,7553.813076
B2,0.0,14573.340359,5875.526301,596.674297,3702.71567,1442.206385,1835.224842,2259.447521,9077.786768,6738.2226439999995,1197.319972,5700.350727,10516.914776000001,7695.338699,10020.274328
B3,0.0,12434.689049999999,4103.078222,484.067371,3042.673685,1267.123376,1684.04273,1782.64673,7348.779633,5943.554556,1263.4737189999998,4022.586743,10673.855994,8857.83088,11204.688795
G2,0.0,294.971075,104.236726,125.293395,1199.93219,119.330226,71.896383,219.009499,16367.828142999999,5911.2292130000005,124.186091,2074.243665,8026.896631,9330.853577,10603.617845
G3,0.0,438.186895,75.265072,80.069621,1165.776834,87.396187,88.233935,129.333958,17592.664902,4596.683253,128.930771,2498.001781,9623.787896,10550.914332,9968.31271
A2,29.6,29016.685564,16038.144973,3149.776444,5894.676532,4843.05496,4951.092892,10047.554844999999,525.000301,1241.652956,2936.830497,2994.496057,663.644607,1005.095199,3442.440028
A3,42.0,34397.525096,16368.692534000002,4917.232592,6837.114086,5833.089242999999,4931.04634,10814.138812,535.468314,1277.198428,3747.812128,3145.78862,220.072822,1029.8003,3106.031245
F2,28.8,30596.410007,15713.93191,4716.838401,6345.030616999999,6022.48429,6251.735847999999,10805.470326,475.62945399999995,1200.526299,2459.177116,2962.76726,403.968971,635.491872,2781.597257
F3,33.2,38152.712289,16379.229216999998,6034.213144,4691.81722,5995.370269,5542.510295,11469.746653,622.984994,1039.7206489999999,2374.938929,2943.795037,524.508508,898.320643,2983.997826
E2,33.6,32338.410088,11653.503512000001,1062.234326,5607.111301,3467.671173,4196.129864,4293.643067,279.961501,1850.45333,5716.5599489999995,1459.231759,1028.533725,2090.90181,4420.412042
E3,39.2,32754.313048999997,12604.954145,1590.50759,4733.246868,3769.339628,4636.823356,4591.900755,246.91954800000002,2575.704243,4900.293741,1311.434879,944.356215,2385.182609,6028.093870000001
J2,0.0,8855.384124,1969.258689,895.771677,1746.446264,435.844683,908.5863509999999,1028.825874,974.617215,3077.0342229999997,10000.724613999999,1537.165255,952.3304840000001,4263.632528,5481.859464
J3,22.0,30157.022313,17216.893023,3914.407187,6020.09105,2889.146781,4454.14694,4201.528031,250.951334,3055.51798,3497.4860690000005,2642.958131,767.634091,1740.190608,3310.9865
D2,32.0,34271.295252,18966.156259,198.646771,5183.151306,3971.220647,5708.918719,9386.078915,423.95763000000005,1884.372788,2701.991586,1821.095097,672.549757,1238.626112,3983.691634
D3,28.4,29442.134683,15729.31608,99.703912,6181.547818,3403.039713,4278.5568650000005,7901.290779,526.857226,1285.902395,3918.1454799999997,1657.257958,825.29027,1461.296494,4620.893493
I2,26.0,25935.574908,18053.772308,604.803854,5385.220028000001,4277.780124,5504.420056,9185.832925,662.390379,1406.262765,1286.643808,1663.309378,352.340781,1289.269729,3978.934631
I3,25.2,22104.231491000002,18928.453083,661.417453,6872.412406,4688.822085,5295.356478,11004.742647000001,787.416065,1321.963314,1265.5212330000002,1931.835909,533.657031,1781.598589,5220.666306
K2,23.6,31130.583056,13431.699836,3820.681542,6024.270563,5381.73535,5194.006259,10140.718481,614.0577890000001,1024.55731,2903.4499530000003,2374.047159,573.829297,737.036541,2257.949318
K3,32.4,22824.897043,16525.830726,4614.90951,6190.797862,5198.541952,6074.704974,10596.595262,810.508133,1137.976298,1940.618272,2144.001438,323.706261,917.680973,3039.438567
X2,31.2,30416.76448,15826.764052,2721.07962,5682.6646980000005,5505.257508,5964.806046,10240.549603000001,638.511134,974.131089,2909.812783,2893.688643,783.737614,1292.089897,3163.065113
X3,38.4,29682.181501,14827.115872,3378.545335,5219.694341,5222.759242,4886.317182,9876.193867,563.648849,1462.777299,2681.157805,2507.831461,390.987727,1200.747066,3054.7504200000003
